device_id,installation_id,problem_type,severity,start,end,duration_hours,description
d0545a3e-89fa-4497-b8b2-0b24b44e5c7a,a645f52d-f674-4e11-831c-84583029135c,sensor_malfunction,warning,2024-12-24 13:20:00,2024-12-24 13:20:00,0.0,JUMP: Ambient humidity changed by 15.9 in single step
9f5c487f-1687-4f51-b40b-bb8a941dbfdf,a645f52d-f674-4e11-831c-84583029135c,condensation_risk,warning,2024-06-28 06:55:00,2024-06-30 18:15:00,59.333333333333336,Cavity humidity sustained at 82.5% (peak 85.3%) for >12h
9f5c487f-1687-4f51-b40b-bb8a941dbfdf,a645f52d-f674-4e11-831c-84583029135c,condensation_risk,warning,2024-07-10 06:25:00,2024-07-13 08:50:00,74.41666666666667,Cavity humidity sustained at 82.4% (peak 85.7%) for >12h
9f5c487f-1687-4f51-b40b-bb8a941dbfdf,a645f52d-f674-4e11-831c-84583029135c,drying_failure,danger,2023-12-18 13:40:00,2023-12-27 16:55:00,219.25,Drying REVERSAL: moisture resistance dropped 1.3 pct over 4 weeks (current avg: 12.9%)
9f5c487f-1687-4f51-b40b-bb8a941dbfdf,a645f52d-f674-4e11-831c-84583029135c,drying_failure,danger,2024-09-15 21:35:00,2024-09-23 13:10:00,183.58333333333334,Drying REVERSAL: moisture resistance dropped 1.2 pct over 4 weeks (current avg: 14.5%)
9f5c487f-1687-4f51-b40b-bb8a941dbfdf,a645f52d-f674-4e11-831c-84583029135c,drying_failure,danger,2024-10-01 05:45:00,2024-10-12 18:20:00,276.5833333333333,Drying REVERSAL: moisture resistance dropped 1.3 pct over 4 weeks (current avg: 14.1%)
9f5c487f-1687-4f51-b40b-bb8a941dbfdf,a645f52d-f674-4e11-831c-84583029135c,drying_failure,danger,2024-11-22 17:05:00,2024-12-10 05:50:00,420.75,Drying REVERSAL: moisture resistance dropped 1.2 pct over 4 weeks (current avg: 12.4%)
9f5c487f-1687-4f51-b40b-bb8a941dbfdf,a645f52d-f674-4e11-831c-84583029135c,drying_failure,warning,2024-03-04 16:45:00,2024-04-09 17:05:00,864.3333333333334,Drying PLATEAU: moisture resistance stagnant at 12.9% for >4 weeks
9f5c487f-1687-4f51-b40b-bb8a941dbfdf,a645f52d-f674-4e11-831c-84583029135c,drying_failure,warning,2024-04-21 06:25:00,2024-05-20 11:45:00,701.3333333333334,Drying PLATEAU: moisture resistance stagnant at 13.3% for >4 weeks
9f5c487f-1687-4f51-b40b-bb8a941dbfdf,a645f52d-f674-4e11-831c-84583029135c,drying_failure,warning,2024-07-28 05:35:00,2024-09-13 12:20:00,1134.75,Drying PLATEAU: moisture resistance stagnant at 15.5% for >4 weeks
9f5c487f-1687-4f51-b40b-bb8a941dbfdf,a645f52d-f674-4e11-831c-84583029135c,drying_failure,warning,2025-01-26 10:40:00,2025-03-24 11:30:00,1368.8333333333333,Drying PLATEAU: moisture resistance stagnant at 11.4% for >4 weeks
9f5c487f-1687-4f51-b40b-bb8a941dbfdf,a645f52d-f674-4e11-831c-84583029135c,drying_failure,warning,2025-03-29 07:25:00,2025-04-17 03:50:00,452.4166666666667,Drying PLATEAU: moisture resistance stagnant at 11.9% for >4 weeks
